mytext,textblob,nrclex,vader,max_emotion,Max_Emotions,sentiment_nrclex
Bad crashy vibes of March set to worsen absent soft Feb jobs number BofAs Hartnett httpstcochkLQkEW httpstconhhXUbEs For realtime alerts and much more sign up for SI Premium Free Trial here httpstcoZLGuDAWX For API news feeds call,1,"{'negative': 1, 'sadness': 1, 'anticipation': 1, 'fear': 1, 'surprise': 1}",-1,negative,negative,-1
Bringing bad vibes for over two hangouts in a row httpstcoPqzcnqVsW professional bad gyal,-1,"{'anger': 3, 'disgust': 2, 'fear': 2, 'negative': 3, 'sadness': 2, 'positive': 1, 'trust': 1}",-1,anger,anger,-1
Friday Vibes httpstcoJBOVXgpB Me gusta acumular pensamientos innecesarios,0,{},0,,,0
A Spell of good things by Ayobami Adebayo Well this one is going to be a thread Ill try not to release spoilers I love when I read a book and a character I have a problem with or think is bad vibes unravels later in the book its like a called it moment for me httpstconYCjKXcIe A not interested Cisheterosexual Man Boute en train Arsenal,-1,"{'anticipation': 1, 'joy': 2, 'positive': 3, 'surprise': 1, 'trust': 1, 'fear': 2, 'negative': 2, 'sadness': 3, 'anger': 1, 'disgust': 2}",1,positive,positive,0
RT Anotherwhoiam OP whats happened Who said its fake chat Did you say you hav evidence that someone was hired to fake the chat to f BuildJakapan,-1,{'negative': 2},-1,negative,negative,-1
RT minothekitty Green p talked with you right White will sue me because of that chat so BooksDemi svturnbiu is my cat FOR MY SAFE ZONES buildbuilddd biblesumett beyourluve bsumbody bubbles gangsTa,1,"{'anger': 1, 'negative': 1, 'sadness': 1}",1,anger,anger,-1
RT Anotherwhoiam OP whats happened Who said its fake chat Did you say you hav evidence that someone was hired to fake the chat to f b,-1,{'negative': 2},-1,negative,negative,-1
RT MistressTerra FREE TRIAL k pics FULL Vids Monthly Livestreams Weekly femdom Role play clips Chat daily Slave Task x Q dm for promo,1,{'anticipation': 1},1,anticipation,anticipation,0
Starting a meaningful conversation is a valuable skill that you can use to build and strengthen relationships communicationtips communicationskills peopleventure conversations conversationstarters httpstcoGhrhrbifhm Recruitment Services Training and Development Resume Writing HR Advisory and Consultation,1,{'positive': 3},1,positive,positive,0
RT PreventEd Talking about alcohol and other drugs with your kids can be difficult but PreventEd has resources to guide parents caregi Wannabe master gardener foodie pit bull lover Fighting the good fight PublicHealth professional Executive Director PreventEd,1,"{'fear': 2, 'joy': 3, 'positive': 6, 'trust': 5, 'anticipation': 2, 'surprise': 1, 'anger': 1, 'negative': 1}",1,positive,positive,0
Talking about alcohol and other drugs with your kids can be difficult but PreventEd has resources to guide parents caregivers and peers through these conversations Click this link to learn more httpstcoVxHKzmmwd PreventionWorks ConversationStarters httpstcoomMDbKhLk PreventEd formerly NCADA is leading the conversation around alcohol and other drugs through education early intervention and advocacy,-1,"{'fear': 1, 'joy': 2, 'positive': 5, 'trust': 4, 'negative': 1, 'sadness': 1, 'anger': 1, 'anticipation': 1}",-1,positive,positive,0
Who needs WiFi when you have good people and a fun board game to play kickstarterproject boardgames bondingtime boardgamenight tabletopgames tabletopgaming conversationstarters conversations connection humanconnection httpstcoKYUmIIIU Cozy Juicy Real the board game Deeper more meaningful connections disguised as a board game Physical game launching Spring,1,"{'anticipation': 5, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 1}",1,anticipation,anticipation,0
Todays conversation starter To what degree do you think AI should be responsible for military decisions Why httpstcotOUaDucps savvycyberkids cyberhero student teacher techtalk kids class family tech technology teen ai military conversationstarters httpstcorWCTiByoLV Savvy Cyber Kids teaches privacy cyberethics cybersafety cybersecurity socialmedia cyberhero bullying cyberethics digcit esports gaming,0,"{'positive': 4, 'trust': 2, 'fear': 2}",-1,positive,positive,0
Find your favourite awesome Flawsome wine at selected wine shops Makro stores and also online at httpstcoVVzBmHXU Brewine Flawsome youreawesome talkingpointwines WineswithCharacter conversationstarters dontgiveasip httpstcokiuwfeVfUN BREWINE was the door that opened when the other one shut Creating incredible wines beverages with so much story and character itll blow your mind,1,{},1,,,0
Needed Vibration available onsalenow tiedyesavailable shirts allpeople allsizes size large unique longlastingcolor vibrant conversationstarters paypal cashapp venmo httpstcopXpgdebr Artist YoutuberTwitchVTuber YtDame Von Bon Daisy Gametags Xbox Daisydame psnmodmaggieart TWITCH DAMNDAISYPLAYS Insta Snap etc modmaggieart,1,"{'positive': 1, 'surprise': 1}",1,positive,positive,0
College gives you a fresh start to meet new people This article will introduce some conversation starters you can use to break the ice httpstcoSCMblpPM MakingFriends ConversationStarters BuildingCommunity IntroduceYourself ClassroomCommunity SharedInterests SAGEScholars is the nations oldest and largest privatecollege preparation funding organization SAGE tuitionrewards FastTrak readysetcollege,1,"{'anticipation': 3, 'surprise': 2, 'joy': 1, 'positive': 1, 'trust': 1}",1,anticipation,anticipation,0
Cozy Juicy Real lovers unite Our board game is launching on Kickstarter soon Be a part of it Click the link in bio then click NOTIFY ME to be the first to find out when the game launches kickstarter conversationstarters tabletopgames boardgames httpstcoHrgSHoWTB Cozy Juicy Real the board game Deeper more meaningful connections disguised as a board game Physical game launching Spring,-1,{'anticipation': 3},1,anticipation,anticipation,0
Who started the conversation How Why Read all about it here httpstcoXONDdx OfstedBigConversation ConversationStarters httpstcoTWVCubPmV Tweeting and RT about the ofstedbigconversation Passionate providers in the early years sector have a voice,1,{},1,,,0
Overcome Anxiety through Online Counseling Online Mindfulness Therapy via Skype Contact me to learn more See httpstcoxQYGKuzink Peter Strong Psychotherapist specializing in MindfulnessTherapy via Skype for Anxiety Agoraphobia OCD Depression PTSD Addiction OnlineTherapy,1,{'positive': 1},-1,positive,positive,0
Study in UK all the aspirants who are looking for UK education with practical exposureinternship attend Free counseling to fulfill their dreams to study in UK To know more contact Munu International SRNagar Ameerpet Hyderabad Call us at httpstcoDLxuBfi Munu International is the best abroad consultancy to Study in USA UK Canada Australia and Europe One stop solution for all Abroad education needs,1,"{'joy': 1, 'positive': 4}",1,positive,positive,0
RT fyoarchive time for happygroupcounselinghoouurrr httpstcocojNSDzj live laugh love dazai,1,"{'anticipation': 1, 'joy': 2, 'positive': 2, 'surprise': 1}",1,joy,joy,1
Relationship Counseling And How It Helps httpstcoxLMMoAN Cigar Club,0,{},1,,,0
DailyThoughts Shocking foods that burn belly fat httpstcoPcPwvvRM online shopping site music travel dating health weightloss recipes pets math and more,-1,"{'disgust': 1, 'negative': 1, 'sadness': 2, 'anticipation': 1, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 1}",-1,sadness,sadness,-1
DailyThoughts I have to give up my favorite foods and eat like a rabbit httpstcoMWsXrGsxI online shopping site music travel dating health weightloss recipes pets math and more,1,"{'joy': 3, 'positive': 4, 'trust': 2, 'anticipation': 1, 'surprise': 1, 'sadness': 1}",1,positive,positive,0
Putin and Biden yeah I do not think the Russian guy is afraid of our old guy at all I am of jealous of his body I will admit it biden putin petsoftiktok beertalk comedy humor humortiktok dailythoughts JoeBiden httpstcogTLxVq I am just someone trying to bring some laughter to the world and drink the occasional beer,-1,"{'fear': 1, 'negative': 2, 'anger': 1, 'disgust': 1, 'anticipation': 1, 'joy': 2, 'positive': 2, 'surprise': 2}",1,negative,negative,-1
RT JudyVincent Cypress Bend Park in NewBraunfels spiral notebook nature journal dailythoughts goals Also available as wallart Photographer on the Fine Art America Pixels and Pictorem websites httpstcoXlwLcoKc httpstcoHEzLsPYm,1,{},1,,,0
DailyThoughts Smoothies that take care of your health as wellhttpstconBsuFJTDS online shopping site music travel dating health weightloss recipes pets math and more,1,"{'anticipation': 1, 'joy': 2, 'positive': 2, 'surprise': 1, 'trust': 1, 'sadness': 1}",1,joy,joy,1
RT JudyVincent Cypress Bend Park in NewBraunfels spiral notebook nature journal dailythoughts goals Also available as wallart DigitalArt Mandalas Birds Butterflies Design SpringforArt SpringintoArt YearForArt Abstract Floral httpstcoDzJybzrfz httpstcopLjAnrdur,1,{},0,,,0
Respond to your reviews Get professional help if you are not good with that Talk to me WhatsApp me httpstcoZidXRhH if you are not getting enough quality leads or not converting them eddieteomarketing marketingtips digitalmarketing dailythoughts httpstconTMLxBMkE Social Media Lead Generation Specialist,-1,"{'positive': 2, 'trust': 2, 'anticipation': 1, 'joy': 1, 'surprise': 1}",1,positive,positive,0
RT JudyVincent Cypress Bend Park in NewBraunfels spiral notebook nature journal dailythoughts goals Also available as wallart you will be kvelling and shopping for our Jewish and Yiddish designs shop here httpstcosyJssHVISE and here httpstcocszSBkQCp BuyIntoArt Jewish,1,"{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1}",0,anticipation,anticipation,0
RT harrycamern hollywood theres a movie about a depressed male paul mescal httpstcoWGXNbReZ at least curse me a little at the very end,-1,"{'anger': 2, 'fear': 2, 'negative': 2, 'sadness': 2, 'disgust': 1}",-1,anger,anger,-1
RT QUEENPP Girl even when youre depressed you look like heaven princesa da Bella hadid,0,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1}",1,anger,anger,-1
OGRolandRat They are so depressed that they have to look at social media for approval Liberalist Developer Conservative,1,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'positive': 1}",-1,anger,anger,-1
RT httpsnimroood im the happiest depressed person youll ever meet hey baby,0,"{'anger': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'joy': 1, 'positive': 1}",1,anger,anger,-1
Posting content and making it for OnlyFans is hard Especially when your a small creator but I promise more will come when Im not so depressed about everything lol Im just a nerdy pup that makes super special content lol what peaks my interest Well follow me and youll see what Im about pretty new to all this so go slw,1,"{'joy': 5, 'positive': 6, 'trust': 4, 'negative': 2, 'anger': 1, 'fear': 1, 'sadness': 1, 'anticipation': 1}",1,positive,positive,0
damn im depressed devoted cat lover gamer and malewife to sylvanas windrunner,0,"{'anger': 2, 'disgust': 1, 'negative': 2, 'fear': 1, 'sadness': 1, 'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}",1,anger,anger,-1
